,Unnamed: 0,Date,User,tweet
0,0,2023-01-30 17:46:17+00:00,BizzBuzzNews,as boom bubble bursts techies hope layoff crisis shall pass too
1,1,2023-01-29 12:09:19+00:00,prabhonik,companies speak about ethics work culture employee friendliness job security all these are true in ppt slides a true leader a great company shows it with their actions during the worse phase respect for tata group and tim cook
2,2,2023-01-29 09:19:50+00:00,SusanChubb1,waiting for the sharp resignation bbc directors resignation simon case ditto sunak out you go sunak
3,3,2023-01-27 02:35:26+00:00,KomalSecurities,in coming quarters margins will improve as they fired employees to meet there cost cutting targets so bounce back expected into there stock prices in coming next quaters max time
4,4,2023-01-27 00:35:35+00:00,Nimma_santhosh,freshers have been fired from think about the freshers who wanted to build their dream if you want to minimize the cut cost then fire top executives
5,5,2023-01-24 17:17:13+00:00,PadmajaPawar,hoping this doesnt have a negative effect on jobs in india
6,6,2023-01-24 15:25:21+00:00,fintrekk,found employees taking advantage of remote working and do moonlighting as a result the company from oct has asked its employees to work from offices three days a week as even clients ask for full attendance
7,7,2023-01-24 15:11:11+00:00,Yajanth,wipro has fired freshers due to their poor performance after an internal test internal tests are usually based on the technologies on which training is done
8,8,2023-01-24 10:47:56+00:00,raviagarwal108,pe value of are historic high compare to average pe first cut in any organization happens is on it amp new software development budget when they have recession talks going on gain in nasdaq is from very low not our indian it low attrition slowdown sold
9,9,2023-01-24 10:46:31+00:00,umakannann,layoff employee union writes to govt seeking action via
10,10,2023-01-24 10:24:41+00:00,society_player,also fired by conducting internal test last one year back most of the employees who is having years experience had got lakhs package can not believenow those will feel the heat
11,11,2023-01-24 08:55:58+00:00,honestinvestify,wipro has fired over trainees after they failed repeatedly in the companys internal tests
12,12,2023-01-24 05:00:18+00:00,jais_george,about tech employees now being fired a day on average in jan
13,13,2023-01-24 01:54:03+00:00,marketsday,the it company sacked entrylevel employees after they performed poorly in assessments repeatedly even after training said the company in a statement the termination letter sent to the employees stated that despite adequate training they have failed to perform
14,14,2023-01-23 21:48:39+00:00,PadmajaPawar,its time to ask where do you see your company after years
15,15,2023-01-23 14:53:02+00:00,iTiwariAtul,fired freshers due to poor performance after an internal test layoffs are giving sleepless nights to corporate employees heart goes out to them
16,16,2023-01-23 14:40:56+00:00,BigBreakingWire,quick update indias it giant wipro wit fired freshers due to poor performance after an internal test the employees fired by wipro were freshers who failed to perform in internal assessment tests despite adequate training
17,17,2023-01-23 10:31:33+00:00,TIMOFFICIAL94,as the bubble bursts companies around the world have resorted to layoff drives to restructure their businesses and downsize their workforce tech companies in particular are laying off a large number of employees
18,18,2023-01-23 10:14:31+00:00,imaryanjakhar,wipro fired freshers due to poor performance after an internal test layoffs are giving sleepless nights to corporate employees
19,19,2023-01-23 09:10:17+00:00,ElliotW2461127,its layoff season again
20,20,2023-01-23 08:58:53+00:00,nihalshaikh9881,wipro fired freshers due to poor performance after an internal test layoffs are giving sleepless nights to corporate employees
21,21,2023-01-23 08:35:01+00:00,gst_itbuddies,einvoice mandatory for turnover above crore from october
22,22,2023-01-23 08:30:16+00:00,jais_george,about tech employees now being fired a day on average in jan
23,23,2023-01-23 08:19:54+00:00,AppuAndrew2,fired freshers due to lack of poor performance
24,24,2023-01-23 08:05:18+00:00,moneycontrolcom,days after wipro confirmed that it let go of freshers after delaying onboarding an employee organisation has said it will be submitting a complaint to the labour department know more by
25,25,2023-01-23 07:08:34+00:00,OscarCo9559098,its layoff season again
26,26,2023-01-23 06:21:30+00:00,Shobana_29,has laid off more than fresher employees for poor performance in internal assessment tests the company has issued termination letters to all the affected employees and stated that despite adequate training they have failed to perform
27,27,2023-01-23 05:56:43+00:00,Ayyappan_1504,fired freshers due to poor performance after an internal test to lay off employees amid deepening slowdown
28,28,2023-01-23 05:00:52+00:00,iam_harish_v,reportedly fired freshers due to poor performances
29,29,2023-01-23 04:50:32+00:00,Vishnu_talkzz,reportedly fired freshers due to poor performances it is also said to have waived off the rs training fee that it spent on training these freshers
30,30,2023-01-23 04:44:15+00:00,niveyshak,has fired freshers on the ground of poor performance tata consultancy services is set to offer consulting services on tech strategy for certain clients awaiting official confirmation from company official circular
31,31,2023-01-23 04:42:02+00:00,isureshofficial,reportedly fired freshers due to poor performances
32,32,2023-01-23 01:51:52+00:00,htTweets,reportedly fired freshers due to poor performance read more
33,33,2023-01-22 07:14:26+00:00,OscarCo9559098,its layoff season again
34,34,2023-01-22 07:11:08+00:00,ElliotW2461127,its layoff season again
35,35,2023-01-21 16:37:59+00:00,Dhivhere,will layoff more than freshers by saying poor performance in internal assessment test
36,36,2023-01-21 16:05:33+00:00,short_and_signi,tech layoffs globally over tech employees were fired in january must watch
37,37,2023-01-21 14:47:44+00:00,HereWorks,tech giants around the world are on a layoff spree
38,38,2023-01-21 14:21:49+00:00,RahulKiran_G,wipro has terminated over trainees after they failed repeatedly in the internal tests aproximate employees were fired last year for moonlighting source et
39,39,2023-01-21 12:59:56+00:00,Onmanorama,sources explained the termination letter maintained that the employees were liable to pay rs of the training cost which company has spent on them but the amount is being waived off
40,40,2023-01-21 11:02:30+00:00,UMESHA102181,is the one of the worst it company in india i think the ceo of of was the only ceo never tells about companies developments worst leadership for onboarding take around year amp after joining freshers were fired within a couple of months they decide candidate talent
41,41,2023-01-21 08:41:31+00:00,YTHISNEWS,it giant has laid off more than fresher employees for poor performance in internal assessment tests company has issued termination letters to all the affected employees and stated that despite adequate training they have failed to perform
42,42,2023-01-21 07:39:09+00:00,imminent_news,the company has issued termination letters to all the affected employees and stated that despite adequate training they have failed to perform
43,43,2023-01-21 07:32:46+00:00,dna,indian it giant wipro has issued termination letters to more than employees the employees fired by wipro were freshers who failed to perform in internal assessment tests despite adequate training
44,44,2023-01-21 06:48:46+00:00,TheDailyPioneer,it giant wipro has laid off more than fresher employees for poor performance in internal assessment tests
45,45,2023-01-21 06:44:03+00:00,the_newsmen,giant has laid off more than for poor performance in internal assessment tests
46,46,2023-01-21 06:36:33+00:00,corporatebhakt,wipro sacks freshers employees fired after internal test the termination letter sent by the company to the terminated employees the letter noted that employees were liable to pay rs that the company spent on training them but the company waived it off
47,47,2023-01-21 06:35:10+00:00,DeccanHerald,the company has issued termination letters to all the affected employees and stated that despite adequate training they have failed to perform
48,48,2023-01-21 06:27:14+00:00,Anisha_Annamala,its layoff season again
49,49,2023-01-21 06:22:11+00:00,Rakesh14_Arora,tech giant has laid off more than fresher employees for poor performance in internal assessment tests le binod be like
50,50,2023-01-21 05:56:38+00:00,rajeshp403,fired freshers for poor performance in internal tests
51,51,2023-01-21 05:09:42+00:00,BizzBuzzNews,wipro lays off over freshers for poor performance
52,52,2023-01-21 04:52:48+00:00,ThePuneMirror,has laid off more than fresher employees for poor performance in internal assessment tests the company has issued termination letters to all the affected employees and stated that despite adequate training they have failed to perform
53,53,2023-01-21 04:00:47+00:00,short_and_signi,wipro layoff it firm fires freshers over poor performance during internal test issues termination letter
54,54,2023-01-20 19:00:52+00:00,dellyranksindia,wipro lets go of freshers after failing internal test
55,55,2023-01-19 07:06:54+00:00,business_today,rishad premji on tackling slowdown and the moonlighting controversy watch the full session here
56,56,2023-01-18 13:30:48+00:00,CNBCTV18News,executive chairman says has higher hiring in months of fy than fy he adds attrition is down quite dramatically
57,57,2023-01-18 11:40:00+00:00,TimesNow,amid layoff wave it majors tech see sharp drop in hiring heres how many people they hired in q
58,58,2023-01-18 09:23:57+00:00,ppressjournal,tcs is increasing salaries while other tech companies are undertaking layoff
59,59,2023-01-18 07:31:23+00:00,Rajan_Arora_,tcs is increasing salaries while other tech companies are undertaking layoff read more
60,60,2023-01-17 14:07:59+00:00,180dcsrcc,whats happening in the top consulting firms the indian multinational it and consulting corporation lays off of its employees for moonlighting being a significant number of employees it may create a gap in the organisationss functioning
61,61,2023-01-17 07:42:39+00:00,TheLayoffBot,wipro visitors are discussing potential andor actual layoffs at wipro see the discussion at wit
62,62,2023-01-16 21:03:06+00:00,Gaurav_ui,any employee who is by so they can dm us we will try to help them as much as possible
63,63,2023-01-16 16:00:32+00:00,feedmileapp,wipro to hire freshers amid mass layoffs
64,64,2023-01-16 13:06:54+00:00,PressRoomToday,tcs is increasing salaries while other tech companies are undertaking layoff read more
65,65,2023-01-16 11:29:26+00:00,Oneindia,wipro said that cases of moonlighting keep coming up and the company is taking action against employees who violate the rules
66,66,2023-01-16 09:17:18+00:00,Stocks_Emoji,it companies starting at a weak fourth quarter
67,67,2023-01-16 08:01:29+00:00,businessupturn,scotwest credit union partners with tcs to improve customer retention
68,68,2023-01-16 06:44:34+00:00,indiacom,amid mass layoff to hire freshers in months
69,69,2023-01-16 06:14:44+00:00,fpjindia,scotwest credit union partners with tcs to improve customer retention using ailed personalisation
70,70,2023-01-16 06:13:43+00:00,PavanjitMane1,q results profit rises yoy to rs crore fy revenue guidance raised to infosys won worth billion the strongest in the last eight quarters the rate for infosys dipped to on a month trailing basis from
71,71,2023-01-16 06:10:45+00:00,equitybulls,scotwest credit union partners with tcs to improve customer retention using ailed personalization
72,72,2023-01-16 06:08:08+00:00,MarketVedantA,tcs partners with ukbased scotwest credit union to improve customer retention
73,73,2023-01-16 06:04:31+00:00,master_trust,tcs partners with ukbased scotwest credit union to improve customer retention
74,74,2023-01-16 05:57:11+00:00,YashasInfinite,with to improve using ailed source
75,75,2023-01-15 16:32:55+00:00,FacemaskIndia,no more fighting over
76,76,2023-01-14 18:27:12+00:00,SachinKhunger,moonlighting syndrome
77,77,2023-01-14 08:08:09+00:00,LEarnWithAkshay,investing in via sip may yield a xirr in the long term however the companys recent decrease in net margin due to high attrition amp double digit wage hike with the stocks history of significant fluctuations should be considered before making a decision
78,78,2023-01-14 07:33:18+00:00,roopkesh,if your turnover in fy is exceeding rs crores then provision of section q and section ch shall be applicable to you with effect from detailed analysis of both sections given here
79,79,2023-01-14 07:00:16+00:00,jais_george,wipro reports negative headcount growth attrition inches lower
80,80,2023-01-14 06:21:54+00:00,i_xperts,if your turnover in fy is exceeding rs crores then provision of section q and section ch shall be applicable to you with effect from detailed analysis of both sections given here
81,81,2023-01-14 05:49:29+00:00,thenewsminute,wipro said the margins improved by basis points and the employee attrition moderated for the fourth quarter in a row
82,82,2023-01-13 19:01:15+00:00,this_is_2P,fired vishal sikka who had the insight to invest in today ceo salil parekh shines as he shares the update im not so sure bullish on infosys though not as much as their to growth
83,83,2023-01-13 18:07:20+00:00,parmarravi,if moonlighting is restricted then why all companies in india dont restrict working after office hours maintaining a healthy mental health and wellbeing of the employees
84,84,2023-01-13 15:41:42+00:00,ETNOWlive,qfy we achieved record order bookings of over bn led by large deal signings of over bn margin expansion of over basis points a huge surge in cash conversions amp a th straight quarter of lower attrition says wipro management
85,85,2023-01-13 14:52:17+00:00,aadityathatsme,moderation of attrition and lower subcontractor costs along with pyramid optimization are likely margin levers in the medium term
86,86,2023-01-13 14:30:00+00:00,tradingonchart,wipro q firms net profit rises to rs cr meets estimates telegram open zerodha demat
87,87,2023-01-13 13:04:56+00:00,atishyadav11,it services had headcount of at decend total bookings over bn in q led by solid large deal signings of over bn q voluntary attrition moderated by bps to
88,88,2023-01-13 12:44:21+00:00,ETtech,reports negative headcount growth inches lower read more at by and
89,89,2023-01-13 12:28:48+00:00,ZeeBusiness,s revenue in q saw growth to rs crore the giant has moderated its attrition for the fourth quarter in a row
90,90,2023-01-13 12:19:33+00:00,trade4_money,attrition rate moderates for th quarter to
91,91,2023-01-13 11:45:55+00:00,trade4_money,q results cons pat rises yoy to rs cr attrition rate moderates for q to
92,92,2023-01-13 11:42:02+00:00,ETMarkets,today said its voluntary attrition rate reduced basis points quarter on quarter to in the december quarter
93,93,2023-01-13 11:29:50+00:00,AoI_VenturesLtd,it services had headcount of at decend total bookings over bn in q led by solid large deal signings of over bn q voluntary attrition moderated by bps to margin growth led by strong operational improvements amp automationled efficiences
94,94,2023-01-13 11:17:09+00:00,CNBCTV18News,saw a reduction of employees in from the previous quarter while its voluntary attrition rate moderated to after at least quarters reports
95,95,2023-01-13 10:50:30+00:00,SAMCO_India,the attrition curve of it majors infosys and hcltech the below chart shows the story of the attrition rate of two majors and
96,96,2023-01-13 10:00:55+00:00,TheLayoffBot,wipro visitors are discussing potential andor actual layoffs at wipro see the discussion at wit
97,97,2023-01-13 09:13:13+00:00,MAPATWARDHAN,it hirings seen at precovid levels in fy shivani shinde amp sourabh lele
98,98,2023-01-13 03:52:11+00:00,lmspl,lms update on jan operating margins of remain resilient due to cost optimization benefits attrition reduced meaningfully during q attrition at in q down by from in q reduced meaningfully disclaimer
99,99,2023-01-13 02:53:29+00:00,CNBCTV18Live,no time frame on when will we see sectors like bfsi hitech amp telecom turn around attrition is going down every quarter for us adds ceo salil parekh to cnbctv
100,100,2023-01-13 02:30:00+00:00,tradingonchart,hcl tech logs rise in q net profitbeats estimates follow on telegram open zerodha demat
